description,unit,category,brand,spec_ref,is_major
10mm Pin Plate,nos,Civil,,,
19mm Pad Lock (3/4) Inch Brass,nos,Civil,,,
2 Inch Rig Form,nos,Civil,,,
6mm Pin Plate,nos,Civil,,,
Aggregate 20mm,bag,Civil,,,yes
Aluminium Box Bar 1 Inch X 2 Inch,nos,Civil,,,
Aluminium Mason Square,nos,Civil,,,
Cement,bag,Civil,,,yes
Coarse Sand,bag,Civil,,,yes
Construction Grout,nos,Civil,,,
Fine Sand,nos,Civil,,,
Fine Sand (For Room Plastering Work),bag,Civil,,,
Hack Saw Frame 1/2 Inch,nos,Civil,,,
Hacker,nos,Civil,,,
Hollow Block 4 Inch,nos,Civil,,,yes
Master Cast 141 20 Ltr Can (Bonding Agent),nos,Civil,,,
Master Pel 777 (India) 20 Ltr Can,nos,Civil,,,
Moyal Proof Plug 10 Kg,bag,Civil,,,
Recon Mc 25 Kg,bag,Civil,,,
0.25 Inch Sponge,nos,Consumables,,,
10 Inch Roller Brush,nos,Consumables,,,
17mm Ratchet,nos,Consumables,,,
2 Ft Set Square,nos,Consumables,,,
2 Ft Spirit Level ( Stanley),nos,Consumables,,,
2 Inch Sponge,nos,Consumables,,,
200 Sand Paper,roll,Consumables,,,
21mm Ratchet,nos,Consumables,,,
3 Inch Concrete Nail,kg,Consumables,,,
4 Ft Spirit Level (Stanley),nos,Consumables,,,
4 Inch Coir Brush,nos,Consumables,,,
4 Inch Concrete Nail,kg,Consumables,,,
4 Inch Paint Brush,nos,Consumables,,,
6mm Hato Binding Cutter,nos,Consumables,,,
Big Hammer,nos,Consumables,,,
Bitumen Tar (18 Litres),drum,Consumables,,,
Brooms,nos,Consumables,,,
Bucket For Concrete Transport,nos,Consumables,,,
Carpenter Hammer,nos,Consumables,,,
Center Plumb Bob,nos,Consumables,,,
Chasis Grease,kg,Consumables,,,
Chipping Hammer,nos,Consumables,,,
Coir Rope,nos,Consumables,,,
Concrete Bucket,nos,Consumables,,,
Concrete Nails 2 Inch,kg,Consumables,,,
Concrete Nails 3 Inch,kg,Consumables,,,
Concrete Nails 4 Inch,kg,Consumables,,,
Concrete Pan,nos,Consumables,,,
Construction Shovel,nos,Consumables,,,
Cotton Waste,kg,Consumables,,,
Crow Bar,nos,Consumables,,,
Cup Brush,nos,Consumables,,,
Cutting Wheel,nos,Consumables,,,
Cutting Wheel 14 Inch,nos,Consumables,,,
Cutting Wheel 4 Inch,nos,Consumables,,,
Dead Brush,nos,Consumables,,,
Diamond Wheel 4 Inch,nos,Consumables,,,
Dunlop Adhesive 3.6 Litres,tin,Consumables,,,
Dunlop Adhesives 3.6 Litres,tin,Consumables,,,
Flat Chisel,nos,Consumables,,,
Float,nos,Consumables,,,
Hand Saw,nos,Consumables,,,
Hoe,nos,Consumables,,,
Knife Cutter,nos,Consumables,,,
Mamoty (Hoe) (Hoe),nos,Consumables,,,
Marking Code (Chalk Line),nos,Consumables,,,
Masonry Plumb Bob,nos,Consumables,,,
Masonry Trowel,nos,Consumables,,,
Masonry Trowel 3 Inch,nos,Consumables,,,
Masonry Trowel 4 Inch,nos,Consumables,,,
Masonry Trowel 7 Inch,nos,Consumables,,,
Masonry Trowels 6 Inch,nos,Consumables,,,
Mini Roller Brush 4 Inch Box (10 X 8),box,Consumables,,,
Nail Lever Puller (Remove) Wreckling Bars,nos,Consumables,,,
Paint Brush 4 Inch,nos,Consumables,,,
Permanent Marker,nos,Consumables,,,
Pick Axe,nos,Consumables,,,
Pipe Cutter,nos,Consumables,,,
Plumb Bob,nos,Consumables,,,
Polythene Sheet,roll,Consumables,,,
Pre Hammer,nos,Consumables,,,
Pry Crow Bar (For Nail Remove),nos,Consumables,,,
Puller For Nail Remove,nos,Consumables,,,
Putty Knife,nos,Consumables,,,
Roller Brush 10 Inch,nos,Consumables,,,
Rubber Hammer,nos,Consumables,,,
Sand Planet Pvt Ltd,nos,Consumables,,,
Scraper,nos,Consumables,,,
Scraper 4 Inch And 6 Inch,nos,Consumables,,,
Screw Driver 1.0MMX6MMX200MM,nos,Consumables,,,
Screw Driver 6MMX125MM,nos,Consumables,,,
Shovels,nos,Consumables,,,
Silicone Sealant,nos,Consumables,,,
Silicone Sealant ( Clear And White),nos,Consumables,,,
Spirit Level,nos,Consumables,,,
Star Bit (Double Sided),nos,Consumables,,,
Tiles Cutter,nos,Consumables,,,
Wheel Barrow,nos,Consumables,,,
White Chalk,box,Consumables,,,
Wood Chisel,nos,Consumables,,,
Wood PC Flat Bits 10 Mm,nos,Consumables,,,
Wood PC Flat Bits 12 Mm,nos,Consumables,,,
Wood PC Flat Bits 16 Mm,nos,Consumables,,,
Wood PC Flat Bits 18 Mm,nos,Consumables,,,
Wood PC Flat Bits 20 Mm,nos,Consumables,,,
Wood PC Flat Bits 25 Mm,nos,Consumables,,,
Wood PC Flat Bits 32 Mm,nos,Consumables,,,
Wood PC Flat Bits 8 Mm,nos,Consumables,,,
0.5 Inch Male Faucet Socket,nos,Electrical,,,
1 Gang Switch,nos,Electrical,,,
1.5 Inch Wire Nail,kg,Electrical,,,
1.5 Mm 2 Core,nos,Electrical,,,
13 A Switches,nos,Electrical,,,
2 Gang Plug Base 13 A,nos,Electrical,,,
2 Gang Sunk Box,nos,Electrical,,,
2 Gang Switch,nos,Electrical,,,
2 Inch Wire Nail,nos,Electrical,,,
2.5 Mm 2 Core,nos,Electrical,,,
2.5 Mm One Core Black Colour Wire,roll,Electrical,,,
2.5 Mm One Core Red Colour Wire,roll,Electrical,,,
2.5 Mm One Core Yellow Colour Wire,roll,Electrical,,,
2.5mm One Core Black Colour Wire,roll,Electrical,,,
2.5mm One Core Yellow Colour Wire,roll,Electrical,,,
20A 2 Pole,nos,Electrical,,,
20A RCCB,nos,Electrical,,,
2gang Plug Base 15A,nos,Electrical,,,
3 Inch Wire Nail,kg,Electrical,,,
4 Inch Wire Nail,kg,Electrical,,,
55mm (2 Inch ) Joint Socket (H/p),nos,Electrical,,,
63mm PPR Faucet Socket,nos,Electrical,,,
8mm Socket Bit,nos,Electrical,,,
ABB MCB C63 4P S204,nos,Electrical,,,
Batten Holder,nos,Electrical,,,
Blue Colour 1044,nos,Electrical,,,
Breaker 20 A,nos,Electrical,,,
Breaker 6A,nos,Electrical,,,
Breaker Mccb 10 A,nos,Electrical,,,
Cable Cutting Plier 200mm Yellow,nos,Electrical,,,
Cable Tie Na 12 Inch White,nos,Electrical,,,
Ceiling Fan 1200mm,nos,Electrical,,,
Ceiling Fan 1400mm White USHA,nos,Electrical,,,
Ceiling Fan Wings,nos,Electrical,,,
Conduit Circular Box Greenland 25mm 4 Way,nos,Electrical,,,
Conduit Clip Uni 20mm White,nos,Electrical,,,
Conduit Clip Uni 25mm White,nos,Electrical,,,
Conduit Elbow ABC 25mm Black,nos,Electrical,,,
Conduit Joint 1 Inch,nos,Electrical,,,
Conduit Long Bend 1 Inch,nos,Electrical,,,
Conduit Pipe Green Land 25mm X 2.9M Black,nos,Electrical,,,
Description,nos,Electrical,,,
Double Sunk Boxes,nos,Electrical,,,
Earth Wire,nos,Electrical,,,
Earth Wire 10 Sq Mm 2 Core 30M,roll,Electrical,,,
Earth Wire 10 Sq Mm 3 Core 30M,roll,Electrical,,,
Electric Cable 2.5 Sq Mm (100M),roll,Electrical,,,
Electrical Tester,nos,Electrical,,,
Enclosure Box,nos,Electrical,,,
Energy Saving Bulb 15W Dy Lit,nos,Electrical,,,
"Faucet Socket - Ws B, 55mm (2 Inch )",nos,Electrical,,,
Fire Guard Wire (7/1.04 Mm),roll,Electrical,,,
Flexible Conduit 20 Mm,nos,Electrical,,,
Flexible Conduit 25 Mm,nos,Electrical,,,
Flexible Conduit Roll 16MMX50M White,ft,Electrical,,,
Flexible Conduit Roll 25MMX50M Black,ft,Electrical,,,
HP 2 Inch PVC Faucet Socket,nos,Electrical,,,
Impact Socket Drill Machine (Bosch),nos,Electrical,,,
Impact Socket Drill Machine (Makita),nos,Electrical,,,
Insulation Tape,nos,Electrical,,,
