description,unit,category,brand,spec_ref,is_major
Cement OPC 50kg bag,bag,Civil,,,yes
Cement SRC 50kg bag,bag,Civil,,Sulphate-resistant,yes
White Cement 40kg bag,bag,Finishes,,,
Coarse Aggregate 20mm,m³,Civil,,,yes
Coarse Aggregate 10mm,m³,Civil,,,yes
Fine Sand (River),m³,Civil,,,yes
Coral Sand,m³,Civil,,,
Concrete Hollow Block 200mm,nos,Civil,,,yes
Concrete Hollow Block 150mm,nos,Civil,,,
Concrete Solid Block 100mm,nos,Civil,,,
AAC Block 600x200x100mm,nos,Civil,,,
Ready-Mix Concrete C25,m³,Civil,,,
Waterproofing Membrane (Bituminous),roll,Civil,,,
Bitumen Primer 20ltr,drum,Civil,,,
Rebar B500B 8mm,kg,Structural,,,yes
Rebar B500B 10mm,kg,Structural,,,yes
Rebar B500B 12mm,kg,Structural,,,yes
Rebar B500B 16mm,kg,Structural,,,yes
Rebar B500B 20mm,kg,Structural,,,yes
Binding Wire 1.6mm,kg,Structural,,,
MS Angle 50x50x5mm,m,Structural,,,
MS Flat Bar 40x5mm,m,Structural,,,
GI Pipe 50mm Medium,m,Structural,,,
Structural Bolt M16,nos,Structural,,,
Marine Plywood 18mm 1220x2440mm,nos,Marine,,,
Titanium Anchor Bolt 20mm,nos,Marine,,,
Geotextile Fabric,m²,Marine,,,
Rock Armour Boulder,m³,Marine,,,
HDPE Pile 300mm,m,Marine,,,
Wall Putty 20kg,bag,Finishes,,,
Emulsion Paint (Interior) 20ltr,drum,Finishes,,,
Weather-Shield Paint (Exterior) 20ltr,drum,Finishes,,,
Ceramic Floor Tile 600x600mm,m²,Finishes,,,
Porcelain Tile 800x800mm,m²,Finishes,,,
Tile Adhesive 20kg,bag,Finishes,,,
Tile Grout 5kg,bag,Finishes,,,
Gypsum Board 12.5mm 1200x2400mm,nos,Finishes,,,
Skirting Timber,m,Finishes,,,
uPVC Pipe 110mm (Drainage),m,Plumbing,,,
uPVC Pipe 50mm,m,Plumbing,,,
PPR Pipe 25mm (Hot and Cold),m,Plumbing,,,
Gate Valve 25mm,nos,Plumbing,,,
Water Closet Suite,set,Plumbing,,,
Wash Basin,nos,Plumbing,,,
Cable 3-Core 2.5mm2,m,Electrical,,,
Cable 1-Core 6mm2,m,Electrical,,,
PVC Conduit 20mm,m,Electrical,,,
MCB 32A Single Pole,nos,Electrical,,,
Distribution Board 12-Way,nos,Electrical,,,
LED Downlight 12W,nos,Electrical,,,
Switch Socket 13A,nos,Electrical,,,
Split AC Unit 24000 BTU,nos,MEP,,,
GI Ducting 0.6mm,m²,MEP,,,
Exhaust Fan 12 Inch,nos,MEP,,,
Cutting Disc 4 Inch,nos,Consumables,,,
Grinding Disc 4 Inch,nos,Consumables,,,
Sandpaper (Assorted Grit),sheet,Consumables,,,
Silicone Sealant,tube,Consumables,,,
PU Foam Spray,can,Consumables,,,
Masking Tape 2 Inch,roll,Consumables,,,
Wood Screw 2 Inch,box,Consumables,,,
Nail 3 Inch,kg,Consumables,,,
Safety Helmet,nos,Safety,,,
Safety Boots,pair,Safety,,,
Hand Gloves,pair,Safety,,,
Safety Harness,nos,Safety,,,
Reflective Vest,nos,Safety,,,
Ear Plug,pair,Safety,,,
Dust Mask,nos,Safety,,,
Diesel Fuel,ltr,General,,,
Drinking Water 1.5L,nos,General,,,
Tarpaulin 12x18ft,nos,General,,,
